,지점명,일시,일강수량_sum_mm,일강수량_mean_mm,일강수량_std_mm,일강수량_max_mm,평균기온_mean_c,평균풍속_mean_ms,최저기온_min_c,최고기온_max_c,최대순간풍속_max_ms,최대순간풍속향_max_deg,집중호우일수
282,성북,2012,1013.0,11.01086956521739,27.093040574789594,131.5,25.044444444444434,1.7576086956521737,15.0,36.1,24.6,354.4,5.0
283,성북,2013,875.5,9.516304347826088,23.382210186914232,158.0,25.480434782608704,1.6608695652173915,15.5,34.4,17.6,331.9,3.0
284,성북,2014,476.0,5.173913043478261,12.842544932528122,70.5,24.259782608695648,1.6336956521739134,16.8,35.2,19.6,340.3,0.0
285,성북,2015,435.5,4.733695652173913,11.55979464030978,69.0,25.169999999999998,1.6811111111111106,15.4,35.9,15.5,337.5,0.0
286,성북,2016,553.5,6.016304347826087,19.362285063890713,120.0,25.289130434782603,1.5413043478260868,15.8,35.8,13.1,331.9,2.0
287,용산,2007,446.5,4.853260869565218,10.875301699358888,60.5,25.878260869565224,2.0152173913043487,15.8,35.5,17.8,340.0,0.0
288,용산,2008,516.5,5.675824175824176,11.732048610151795,51.0,25.034782608695647,1.9923913043478256,13.7,38.2,18.3,355.0,0.0
289,용산,2009,887.0,9.641304347826088,28.796780009912943,162.5,24.80439560439561,1.9472527472527466,14.3,36.9,17.6,359.2,4.0
290,용산,2010,803.0,8.728260869565217,20.92259584091821,105.5,26.115217391304363,1.8532608695652173,14.0,34.7,13.6,345.9,2.0
291,용산,2011,1509.5,16.407608695652176,40.32300418801031,273.0,24.730434782608693,1.766304347826086,14.7,34.9,13.8,351.6,4.0
292,용산,2012,917.0,9.967391304347826,27.77319883160209,170.0,26.10777777777778,2.0663043478260863,17.1,37.4,19.3,331.9,3.0
293,용산,2013,699.5,7.603260869565218,20.9628842653488,154.5,26.448913043478278,2.055434782608696,16.1,35.4,14.4,354.4,2.0
294,용산,2014,413.0,4.489130434782608,11.511336567280855,64.0,25.196739130434775,2.054347826086955,17.4,35.4,18.1,357.2,0.0
295,용산,2015,409.0,4.445652173913044,11.36566463243695,71.0,25.7554347826087,1.9967391304347815,16.6,36.2,12.3,351.6,0.0
296,용산,2016,402.5,4.375,14.84584246385292,93.5,26.626086956521732,1.8619565217391303,16.8,37.1,11.3,340.3,2.0
297,은평,2007,329.5,3.5815217391304346,8.93175504636762,51.0,24.772527472527475,1.6233333333333333,12.9,33.5,14.8,357.5,0.0
298,은평,2008,870.5,9.46195652173913,24.373606885593965,134.0,24.35494505494505,1.6637362637362634,14.4,36.3,19.5,294.9,2.0
299,은평,2009,1130.5,12.28804347826087,36.56653079185849,221.5,24.17472527472528,1.4560439560439558,13.1,35.2,14.5,294.8,5.0
300,은평,2010,1010.0,10.978260869565217,23.341811873922143,108.0,25.26521739130435,1.978260869565217,12.6,34.0,11.3,334.7,2.0
301,은평,2011,1612.0,17.52173913043478,41.2582934082854,278.5,23.962637362637366,2.1000000000000005,14.6,33.7,16.6,334.7,5.0
302,은평,2012,752.0,8.173913043478262,20.101587436987682,98.0,24.57802197802196,1.0780219780219786,11.9,36.3,14.5,343.1,2.0
303,은평,2013,815.5,8.961538461538462,22.420753130530002,147.0,24.62637362637363,0.9219780219780224,11.9,35.0,12.4,357.2,2.0
304,은평,2014,439.5,4.7771739130434785,12.140515252936531,64.5,23.370652173913033,0.8293478260869568,14.8,35.0,10.0,357.2,0.0
305,은평,2015,338.5,3.6793478260869565,10.008397990648952,67.0,23.71666666666666,0.8866666666666662,10.1,34.7,9.8,357.2,0.0
306,은평,2016,378.5,4.114130434782608,15.984900715484558,120.5,24.141758241758243,0.8219780219780223,11.9,35.7,9.7,354.4,2.0
307,금천,2007,453.0,4.923913043478261,12.54813474659597,84.5,23.83181818181818,2.2344827586206897,15.3,32.3,17.0,342.9,1.0
308,금천,2008,866.5,9.418478260869565,21.687373798462726,114.0,24.067391304347826,2.205434782608696,14.1,35.1,21.0,349.4,3.0
309,금천,2009,974.5,10.592391304347826,30.889463453750416,159.0,23.961797752808994,2.078651685393259,14.5,34.2,18.0,354.2,5.0
310,금천,2010,665.0,7.228260869565218,17.93630565859235,94.0,25.972826086956516,1.9260869565217396,14.1,34.8,12.6,317.8,2.0
311,금천,2011,1363.5,14.983516483516484,36.685786723156795,249.0,24.616304347826098,2.0619047619047617,13.8,35.2,17.1,351.6,4.0
312,금천,2012,1057.0,11.48913043478261,31.892330734443156,172.0,26.01555555555556,2.1477777777777787,16.1,36.9,20.4,351.6,6.0
313,금천,2013,714.5,7.766304347826087,20.400717920861858,135.5,25.958695652173915,2.088043478260869,15.3,34.1,12.4,354.4,2.0
314,금천,2014,480.5,5.2228260869565215,13.678884853180275,83.0,24.68260869565217,1.9369565217391307,17.1,35.3,14.8,351.6,1.0
315,금천,2015,417.0,4.532608695652174,12.222705485434059,67.5,25.05,1.9521739130434779,15.8,35.8,12.0,351.6,0.0
316,금천,2016,466.5,5.070652173913044,16.974865310724798,103.0,26.047826086956523,1.8217391304347825,16.6,37.1,10.4,357.2,2.0
317,한강,2007,419.5,4.559782608695652,10.612775421633302,72.5,25.434782608695652,2.3619565217391307,16.6,35.3,19.4,352.9,0.0
318,한강,2008,622.0,6.760869565217392,15.872859942430999,88.0,25.049999999999994,2.4336956521739124,14.3,38.4,16.3,323.2,1.0
319,한강,2009,883.0,9.597826086956522,29.003053944012727,168.5,24.896703296703297,2.1549450549450544,16.1,35.1,16.1,354.1,4.0
320,한강,2010,754.0,8.195652173913043,19.935329029791287,94.5,26.590361445783127,2.0347826086956515,15.5,36.3,13.5,319.8,3.0
321,한강,2011,1466.0,15.934782608695652,38.419190016067276,256.5,24.863043478260867,2.002173913043479,14.7,35.6,15.4,315.7,4.0
322,한강,2012,961.5,10.451086956521738,28.624708816850838,157.0,26.46521739130435,2.1750000000000003,17.4,38.0,22.0,346.3,3.0
323,한강,2013,748.5,8.13586956521739,20.997527753595648,150.5,26.360869565217385,2.081521739130435,17.1,34.8,15.0,357.2,1.0
324,한강,2014,449.5,4.885869565217392,12.885613252999518,61.0,25.299999999999994,2.2630434782608697,17.4,34.7,19.7,357.2,0.0
325,한강,2015,403.0,4.380434782608695,11.116854238521574,68.5,25.78804347826086,2.2663043478260874,17.1,35.4,16.3,357.2,0.0
